,category,place,ad_type,year_of_construction,Advertiser,Room_number,Area,Deposit,Lease
0,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,یک,۶۰۰,توافقی,توافقی
1,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۸,مشاور املاک,چهار,۳۰۰,۵۰۰٫۰۰۰٫۰۰۰ تومان,۱۲٫۰۰۰٫۰۰۰ تومان
2,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۲,شخصی,یک,۸۵,۶۷٫۰۰۰٫۰۰۰ تومان,مجانی
3,خانه و ویلا,تهران افسریه,ارائه,۱۳۹۶,شخصی,یک,۱۵۰۰,۱۶۰٫۰۰۰٫۰۰۰ تومان,توافقی
4,خانه و ویلا,تهران ورامین,ارائه,۱۳۷۷,شخصی,سه,۹۵,۴۵٫۰۰۰٫۰۰۰ تومان,۲۵۰٫۰۰۰ تومان
5,خانه و ویلا,تهران جیحون,ارائه,قبل از ۱۳۷۰,شخصی,پنج ,۱۶۰,۱۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
6,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۶,شخصی,چهار,۱۲۰۰,توافقی,توافقی
7,خانه و ویلا,تهران پرند,ارائه,۱۳۸۷,شخصی,دو,۲۰۸,۶۵٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
8,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۹۳,شخصی,دو,۱۴۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۴٫۰۰۰٫۰۰۰ تومان
9,خانه و ویلا,تهران نظام‌آباد,ارائه,قبل از ۱۳۷۰,شخصی,بدون اتاق,۴۰,۵٫۰۰۰٫۰۰۰ تومان,۷۵۰٫۰۰۰ تومان
10,خانه و ویلا,تهران فلاح,ارائه,۱۳۸۰,مشاور املاک,دو,۸۱,توافقی,توافقی
11,خانه و ویلا,تهران نازی‌آباد,ارائه,۱۳۷۱,مشاور املاک,چهار,۱۸۵,۲۰۰٫۰۰۰٫۰۰۰ تومان,مجانی
12,خانه و ویلا,تهران ورامین,ارائه,۱۳۸۸,شخصی,دو,۱۱۰,۴۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
13,خانه و ویلا,تهران فاطمی,ارائه,۱۳۹۸,شخصی,دو,۲۰۰,توافقی,۴۵۰٫۰۰۰ تومان
14,خانه و ویلا,تهران پردیس,ارائه,۱۳۹۵,مشاور املاک,دو,۱۱۰,۶۰٫۰۰۰٫۰۰۰ تومان,۱٫۷۰۰٫۰۰۰ تومان
15,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۲,مشاور املاک,پنج یا بیشتر,۶۰۰,توافقی,توافقی
16,خانه و ویلا,تهران شهرک فردوس,ارائه,۱۳۸۱,مشاور املاک,یک,۶۰,۷٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان
17,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۷,مشاور املاک,یک,۱۱۰,۶۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
18,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۸۰,مشاور املاک,پنج ,۳۵۰,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,توافقی
19,خانه و ویلا,تهران حکیمیه,ارائه,۱۳۷۵,مشاور املاک,دو,۱۲۵,۱۰۰٫۰۰۰٫۰۰۰ تومان,۲٫۰۰۰٫۰۰۰ تومان
20,خانه و ویلا,تهران شهرک قدس,ارائه,۱۳۸۵,مشاور املاک,سه,۱۷۵,۶۵۰٫۰۰۰٫۰۰۰ تومان,مجانی
21,خانه و ویلا,تهران دارآباد,ارائه,۱۳۸۸,شخصی,بدون اتاق,۱۰,توافقی,توافقی
22,خانه و ویلا,تهران فرمانیه,ارائه,۱۳۸۱,مشاور املاک,چهار,۲۸۰,۱۰۰٫۰۰۰٫۰۰۰ تومان,۱۵٫۰۰۰٫۰۰۰ تومان
23,خانه و ویلا,تهران فشم,ارائه,۱۳۷۵,شخصی,دو,۸۰,۳۵٫۰۰۰٫۰۰۰ تومان,۳٫۰۰۰٫۰۰۰ تومان
24,خانه و ویلا,تهران سلسبیل,ارائه,۱۳۹۵,شخصی,سه,۱۱۵۰,توافقی,توافقی
25,خانه و ویلا,تهران شهریار,ارائه,۱۳۹۵,شخصی,سه,۳۰۰۰,۱٫۵۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
26,خانه و ویلا,تهران فلاح,ارائه,قبل از ۱۳۷۰,شخصی,سه,۶۰,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۵۰۰٫۰۰۰ تومان
27,خانه و ویلا,تهران پونک,ارائه,۱۳۹۶,شخصی,دو,۴۳۰,توافقی,۴۰۰٫۰۰۰ تومان
28,خانه و ویلا,تهران شهر قدس,ارائه,۱۳۸۷,شخصی,یک,۵۵,۲۰٫۰۰۰٫۰۰۰ تومان,۵۰۰٫۰۰۰ تومان
29,خانه و ویلا,تهران دروس,ارائه,۱۳۹۴,مشاور املاک,سه,۱۶۵,۳۰۰٫۰۰۰٫۰۰۰ تومان,۸٫۵۰۰٫۰۰۰ تومان
30,خانه و ویلا,تهران نواب,ارائه,قبل از ۱۳۷۰,شخصی,دو,۶۵,۱۰٫۰۰۰٫۰۰۰ تومان,۱٫۸۰۰٫۰۰۰ تومان
31,خانه و ویلا,تهران اندیشه,ارائه,۱۳۹۶,مشاور املاک,دو,۱۲۵,۷۵٫۰۰۰٫۰۰۰ تومان,۱٫۱۰۰٫۰۰۰ تومان
32,خانه و ویلا,تهران سعادت‌آباد,ارائه,۱۳۹۰,مشاور املاک,پنج یا بیشتر,۳۵۰,توافقی,توافقی
33,خانه و ویلا,تهران جی,ارائه,قبل از ۱۳۷۰,مشاور املاک,چهار,۵۵,۱۵٫۰۰۰٫۰۰۰ تومان,۲٫۵۰۰٫۰۰۰ تومان
34,خانه و ویلا,تهران جردن,ارائه,۱۳۷۱,مشاور املاک,پنج یا بیشتر,۷۰۰,۱٫۱۰۰٫۰۰۰٫۰۰۰ تومان,۲۵٫۰۰۰٫۰۰۰ تومان
35,خانه و ویلا,تهران شهرک غرب,ارائه,۱۳۷۱,مشاور املاک,پنج یا بیشتر,۷۰۰,توافقی,توافقی
36,خانه و ویلا,تهران بومهن,ارائه,۱۳۹۲,شخصی,یک,۱۰۰۰,۸۰۰٫۰۰۰ تومان,توافقی
37,خانه و ویلا,تهران شهرک ولیعصر,ارائه,۱۳۷۷,شخصی,یک,۳۰,۱۰٫۰۰۰٫۰۰۰ تومان,۶۰۰٫۰۰۰ تومان
